customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
21,572,hair gel,2021-03-11,5,65,8,520
78,571,deodorant,2022-04-05,2,141,5,705
3,573,cashews,2022-07-04,7,340,7,2380
3,574,clinic plus,2022-07-20,10,345,2,690
14,573,cashews,2021-11-18,8,340,1,340
44,574,sunflower oil,2022-06-27,10,120,2,240
67,575,maida,2023-05-20,14,20,6,120
73,575,sugar,2023-10-08,13,50,10,500
97,571,black pepper,2022-07-26,1,52,2,104
38,572,maida,2021-02-28,4,20,1,20
9,572,hair gel,2023-01-20,5,65,8,520
74,573,quaker oats,2022-11-19,9,212,8,1696
13,573,black pepper,2021-02-25,9,52,10,520
56,573,maida,2023-01-10,9,20,5,100
49,575,kabuli chana,2021-12-18,14,140,10,1400
49,573,sugar,2021-08-31,8,50,7,350
40,572,maida,2023-03-31,4,20,2,40
45,573,cashews,2023-04-04,9,340,10,3400
4,574,quaker oats,2022-05-06,12,212,8,1696
53,574,quaker oats,2023-05-22,10,212,4,848
40,572,besan,2022-10-01,6,52,9,468
50,573,sunflower oil,2023-06-07,7,120,8,960
31,575,sugar,2022-02-03,14,50,3,150
69,573,deodorant,2022-07-29,7,141,8,1128
82,571,nutrella,2022-12-01,3,40,2,80
78,572,amul ghee,2021-07-14,4,596,9,5364
80,571,coriander powder,2021-08-17,2,50,8,400
86,575,cashews,2022-08-22,13,340,7,2380
45,574,black pepper,2022-08-30,10,52,10,520
16,575,clinic plus,2023-06-18,15,345,1,345
66,575,cashews,2022-06-08,15,340,9,3060
18,574,clinic plus,2023-06-08,10,345,9,3105
52,575,atta,2022-07-31,13,450,8,3600
86,573,maggi masala,2022-05-26,8,80,3,240
72,572,atta,2021-10-21,4,450,3,1350
22,571,besan,2022-07-04,2,52,3,156
41,575,amul ghee,2022-10-16,15,596,5,2980
5,573,black pepper,2022-01-10,9,52,6,312
33,573,mustard oil,2022-01-25,8,110,2,220
69,573,besan,2021-06-21,8,52,1,52
92,574,besan,2021-07-19,12,52,2,104
89,572,mustard oil,2023-04-05,4,110,9,990
9,572,dove shampoo,2023-09-26,5,574,1,574
98,571,kabuli chana,2022-12-22,2,140,9,1260
44,571,dove shampoo,2022-01-16,2,574,6,3444
17,573,nutrella,2023-03-13,8,40,9,360
71,572,sugar,2023-10-07,6,50,2,100
28,572,sunflower oil,2022-12-18,4,120,4,480
85,572,maida,2021-08-19,5,20,1,20
81,574,dove shampoo,2021-05-27,12,574,1,574
84,572,sugar,2023-03-25,6,50,1,50
95,574,black pepper,2023-08-13,11,52,4,208
6,574,dove shampoo,2021-11-12,11,574,4,2296
95,574,besan,2023-10-04,12,52,9,468
47,575,dantkanti,2021-11-29,15,100,6,600
90,574,atta,2022-09-06,12,450,8,3600
47,574,sunflower oil,2021-04-12,11,120,2,240
91,574,maggi masala,2022-10-27,11,80,3,240
58,573,deodorant,2023-03-08,8,141,2,282
26,574,hair gel,2023-04-25,10,65,10,650
32,574,hair gel,2022-06-19,10,65,2,130
96,574,sunflower oil,2021-04-09,11,120,9,1080
95,573,black pepper,2021-07-14,8,52,4,208
60,575,maggi masala,2022-03-11,14,80,10,800
68,573,dove shampoo,2023-09-12,9,574,6,3444
85,574,maida,2021-02-19,11,20,8,160
96,574,dantkanti,2021-05-02,10,100,2,200
76,571,coriander powder,2021-04-24,3,50,6,300
44,574,deodorant,2022-02-15,12,141,6,846
6,574,clinic plus,2023-09-24,10,345,2,690
78,571,dantkanti,2021-09-04,3,100,4,400
34,575,clinic plus,2021-07-07,14,345,5,1725
97,572,hair gel,2023-06-09,4,65,1,65
43,573,sunflower oil,2023-09-26,9,120,5,600
94,571,kabuli chana,2021-07-08,3,140,2,280
76,572,maggi masala,2023-04-26,4,80,4,320
78,572,dantkanti,2021-06-08,6,100,1,100
6,572,quaker oats,2021-09-11,4,212,4,848
10,571,cashews,2022-02-23,3,340,6,2040
81,575,besan,2022-03-31,14,52,6,312
99,574,sugar,2022-02-27,12,50,3,150
32,571,hair gel,2021-12-31,3,65,6,390
98,575,black pepper,2022-08-02,15,52,7,364
66,571,deodorant,2021-02-16,2,141,7,987
45,571,dantkanti,2023-04-01,3,100,4,400
87,573,nutrella,2022-07-04,9,40,4,160
77,572,kabuli chana,2021-12-20,4,140,7,980
62,573,dantkanti,2022-10-03,7,100,8,800
97,575,maida,2022-01-17,14,20,6,120
59,575,sunflower oil,2021-07-29,15,120,1,120
35,572,amul ghee,2021-11-27,5,596,1,596
90,574,maida,2022-07-02,12,20,2,40
29,571,nutrella,2022-07-07,1,40,2,80
52,572,sugar,2021-05-24,6,50,9,450
96,573,sugar,2021-07-19,9,50,5,250
37,574,besan,2023-06-29,12,52,6,312
9,574,deodorant,2021-02-24,10,141,10,1410
32,572,quaker oats,2021-09-16,6,212,2,424
80,575,maggi masala,2021-07-11,14,80,3,240
93,573,amul ghee,2022-05-25,9,596,10,5960
69,571,black pepper,2021-03-29,3,52,3,156
1,572,cashews,2022-12-12,6,340,7,2380
57,575,coriander powder,2022-04-20,13,50,6,300
47,574,dantkanti,2021-10-23,11,100,10,1000
85,572,black pepper,2023-03-23,6,52,7,364
22,571,atta,2022-01-19,3,450,6,2700
78,575,dantkanti,2021-11-22,14,100,2,200
56,571,sunflower oil,2021-04-17,3,120,6,720
65,574,black pepper,2021-11-20,11,52,7,364
8,572,clinic plus,2022-11-11,5,345,6,2070
59,575,kabuli chana,2022-05-31,13,140,7,980
28,573,kabuli chana,2023-01-04,7,140,10,1400
62,572,hair gel,2022-12-04,5,65,1,65
74,573,coriander powder,2022-04-05,9,50,9,450
60,574,coriander powder,2023-07-06,12,50,1,50
1,573,clinic plus,2023-05-25,8,345,4,1380
52,574,atta,2023-07-17,12,450,6,2700
2,571,besan,2021-10-11,2,52,3,156
90,571,besan,2022-01-02,3,52,6,312
